[header]
width=60
height=60
tilewidth=64
tileheight=32

[tilesets]
tileset=grassland_tiles.png,64,32,0,0,1024,1344

[layer]
type=background
data=
5,14,12,3,4,16,9,9,7,6,15,2,8,13,12,10,7,2,12,15,15,1,12,13,14,9,9,1,1,6,16,9,4,4,15,2,5,2,2,8,1,11,6,8,5,14,8,16,13,6,5,12,7,2,11,10,16,13,6,6,
8,12,16,3,5,6,11,8,10,3,11,5,15,14,9,3,15,15,13,13,1,15,16,10,16,7,11,3,3,16,8,3,4,4,16,16,12,10,11,6,4,13,2,12,4,5,14,12,7,11,9,14,4,8,12,12,6,5,14,15,
10,16,16,10,1,6,4,7,2,16,10,10,15,2,8,8,15,1,3,6,6,4,15,10,9,13,3,7,14,4,2,4,9,12,2,4,16,10,8,14,6,4,9,6,2,15,9,1,9,15,15,4,14,10,14,4,8,4,12,6,
3,9,7,15,1,16,11,9,6,13,6,1,3,16,9,8,9,315,309,14,8,13,13,5,3,9,16,14,10,15,15,10,14,1,12,9,1,14,8,14,2,9,3,8,3,2,14,8,5,11,11,1,9,4,10,2,16,14,13,13,
15,16,8,4,6,14,6,2,7,12,14,7,1,317,320,308,312,311,305,308,309,317,310,16,15,9,16,1,10,11,10,10,14,11,11,8,8,6,1,8,6,9,9,6,3,2,15,1,13,12,16,3,1,6,10,12,12,13,9,7,
2,7,7,3,14,2,3,4,8,12,3,1,312,310,308,307,314,306,315,317,314,310,311,312,15,2,10,16,12,15,3,15,15,3,6,1,16,4,11,13,8,13,12,13,16,7,1,10,1,10,4,13,4,15,14,15,3,16,7,9,
1,9,9,15,16,15,15,10,2,7,317,317,320,309,318,312,308,306,312,319,314,319,305,315,315,312,14,13,2,12,13,13,12,8,16,7,12,9,10,1,7,4,2,15,1,14,12,6,16,12,13,11,8,2,10,4,15,7,8,5,
14,3,16,3,9,12,15,7,13,16,312,315,315,319,307,315,319,319,318,317,314,319,310,316,320,317,320,8,13,6,13,14,7,14,7,5,16,7,8,14,9,4,2,10,4,3,6,9,1,8,4,14,1,1,15,9,6,2,6,11,
8,11,2,13,11,6,1,15,5,2,308,319,316,314,316,311,319,309,314,316,305,311,317,316,316,315,305,317,11,12,1,13,1,11,1,8,10,7,10,14,2,10,8,11,6,3,9,11,3,15,9,13,6,10,7,12,13,1,14,7,
5,15,7,3,15,4,5,12,4,7,11,314,306,311,318,318,318,308,308,308,311,305,311,317,318,318,320,309,305,15,8,14,4,7,4,10,13,13,6,8,9,9,6,1,1,5,15,15,12,10,8,9,6,1,12,10,5,2,2,10,
15,12,10,4,5,8,12,12,13,8,10,313,311,319,313,305,305,311,308,316,317,308,315,308,313,311,307,314,307,5,9,2,4,6,4,16,14,15,13,8,16,4,9,15,16,10,14,9,3,6,16,12,14,13,5,12,5,4,1,15,
4,8,15,5,13,5,13,8,3,6,8,7,8,311,308,319,313,313,309,311,311,318,318,315,306,312,312,318,315,6,7,14,13,2,12,12,14,10,5,13,5,13,5,2,2,13,12,13,7,10,10,14,4,7,2,6,10,3,4,6,
12,13,4,16,9,2,12,12,14,11,9,2,8,6,10,1,3,315,316,320,317,306,319,310,311,318,317,314,315,8,14,3,1,15,16,14,6,5,4,15,11,8,5,3,12,5,1,8,7,8,5,9,8,16,14,5,12,8,10,8,
14,4,7,7,13,1,15,8,5,16,6,7,15,10,3,13,6,313,306,315,305,312,314,307,306,312,307,305,316,2,4,6,8,9,12,8,15,1,1,8,8,3,13,14,12,8,7,4,4,9,10,2,8,15,14,2,1,2,12,12,
9,8,9,14,8,15,3,2,10,1,2,10,4,2,12,13,12,7,315,306,314,311,310,305,310,315,314,305,313,3,3,13,15,11,13,12,3,1,15,2,2,10,15,6,16,9,2,11,4,5,12,7,2,2,3,14,15,6,12,7,
16,1,15,8,5,1,11,9,16,1,5,12,2,3,16,2,14,9,13,316,318,311,307,308,308,0,0,308,313,5,3,6,8,16,14,8,14,4,16,1,3,16,9,5,8,7,10,3,13,8,4,12,5,6,9,2,15,16,9,5,
4,10,11,14,3,12,13,1,14,11,1,16,2,5,4,7,12,5,4,3,313,305,317,308,308,0,0,308,4,1,13,11,16,15,16,16,9,5,15,11,6,16,9,9,4,13,10,8,15,9,15,4,5,16,5,10,3,1,9,8,
15,15,11,1,11,7,9,15,4,9,16,10,3,12,10,12,2,11,14,14,8,14,316,308,308,308,308,4,15,4,12,10,3,9,8,5,2,6,13,11,7,5,3,8,9,14,4,3,2,9,8,6,11,1,8,9,13,15,14,6,
16,5,15,6,9,15,12,7,11,13,13,15,12,4,7,4,16,10,14,9,12,4,9,4,6,6,11,11,2,6,10,1,5,9,11,13,5,3,3,3,6,9,6,8,13,2,11,16,16,16,5,2,3,11,10,2,11,6,15,5,
4,2,7,10,14,15,13,8,13,14,8,1,16,1,8,5,9,8,14,6,9,4,13,6,1,6,3,3,2,16,3,1,14,2,14,15,4,13,4,16,6,2,7,2,5,3,7,9,3,16,5,5,15,10,4,6,11,2,2,14,
4,4,12,11,11,5,9,16,4,4,14,11,1,10,16,13,6,1,14,9,5,12,3,10,12,5,14,9,2,4,13,6,16,16,13,13,5,9,8,10,6,10,3,10,14,5,11,9,12,10,12,4,9,1,4,13,11,5,9,2,
8,2,14,16,15,3,2,3,4,5,9,1,10,16,16,9,6,7,11,6,1,14,1,8,14,11,10,5,10,12,13,16,8,11,15,8,4,10,11,16,10,16,16,8,7,4,12,10,2,7,13,10,9,8,6,14,13,7,4,16,
1,12,1,2,15,9,9,2,12,13,11,14,13,11,2,9,10,10,5,15,1,14,12,5,14,7,4,15,3,4,9,8,4,8,1,10,1,4,8,2,15,8,15,1,9,6,4,11,3,1,8,11,13,7,6,4,11,1,1,10,
3,8,13,3,6,10,1,8,3,13,11,16,9,4,4,15,11,16,5,10,10,9,8,11,15,12,4,11,8,3,1,5,10,11,11,1,15,15,2,15,9,12,16,6,14,10,14,11,3,13,10,3,11,15,12,5,10,14,10,3,
15,1,8,10,1,1,3,8,9,6,16,14,1,16,16,7,11,7,8,8,15,6,5,5,13,7,5,5,14,7,11,2,6,1,14,16,14,6,4,8,6,8,15,4,5,5,2,15,7,16,2,10,11,7,9,1,13,16,1,13,
15,6,15,11,13,3,13,13,1,13,13,15,4,6,11,12,7,15,3,2,1,16,3,6,5,13,2,4,9,15,1,15,6,14,15,15,5,5,14,2,11,4,2,13,11,16,5,14,10,13,14,2,2,14,2,8,4,12,12,5,
1,6,10,9,11,8,8,2,7,15,1,15,6,11,2,8,4,6,1,13,16,4,14,14,5,14,12,13,11,10,7,9,6,5,4,12,5,12,7,3,6,3,13,14,10,14,11,7,1,7,6,4,7,11,4,14,4,6,3,2,
14,16,8,8,2,7,11,3,3,15,1,8,1,8,10,2,14,15,12,5,13,8,16,1,4,16,2,12,10,11,11,4,11,16,7,14,14,3,8,9,9,1,11,9,12,15,16,1,15,16,11,4,12,11,10,8,13,12,7,13,
7,8,8,12,14,5,9,3,10,6,15,314,11,12,11,15,1,7,11,5,12,8,1,16,12,13,11,15,1,7,11,4,11,6,15,14,10,11,9,13,14,4,7,16,6,2,11,9,4,5,3,7,7,13,1,9,15,11,3,1,
10,9,16,8,7,6,14,5,5,5,315,318,317,4,12,4,4,4,12,5,5,6,14,7,7,8,1,9,10,11,4,13,14,15,9,2,3,5,14,8,9,11,5,14,16,2,12,6,8,11,5,15,1,4,14,9,11,14,9,4,
16,5,2,15,3,7,3,15,3,316,314,314,313,3,13,8,10,12,6,15,1,2,11,4,4,5,13,5,5,5,13,4,3,2,9,16,14,12,2,8,6,3,9,14,11,8,12,1,13,9,13,16,12,7,10,13,7,2,4,6,
13,7,9,11,7,2,7,11,9,318,315,316,314,5,13,7,9,11,6,2,6,11,8,6,12,3,3,3,12,5,7,9,4,16,4,8,5,3,10,16,16,16,8,2,3,5,16,12,16,4,1,15,5,12,11,11,3,12,14,16,
7,1,1,16,5,8,1,9,317,311,313,315,307,5,1,12,12,11,1,4,14,6,5,2,5,6,14,4,1,12,13,12,2,6,16,9,8,5,8,10,3,9,6,1,2,2,8,13,7,16,16,13,1,3,12,3,16,12,13,14,
9,7,3,4,1,4,4,9,313,306,305,317,316,319,8,6,16,16,12,14,13,16,1,7,314,311,7,1,8,4,14,12,8,8,6,8,8,13,14,5,9,2,8,3,12,9,3,2,15,16,15,3,3,9,12,4,9,2,10,6,
6,5,13,5,7,9,4,16,308,316,319,310,314,313,311,13,8,4,9,14,13,12,4,318,315,318,308,319,14,4,2,2,10,3,5,8,3,15,4,10,9,9,1,10,12,15,10,7,12,2,1,1,9,2,5,7,3,16,5,11,
4,8,1,7,3,13,12,9,309,307,312,316,318,310,319,7,6,2,4,4,9,11,4,310,305,308,310,320,319,9,13,16,7,13,8,16,14,10,11,10,14,16,8,13,7,15,13,8,9,7,11,13,4,9,3,11,8,3,3,1,
11,15,3,14,8,10,11,3,10,308,314,320,306,309,308,314,14,7,16,16,15,6,12,311,315,316,307,308,309,2,2,10,1,16,13,2,6,2,13,15,1,10,2,1,16,6,12,8,4,8,10,4,14,14,14,5,12,10,7,11,
1,8,2,5,11,10,12,8,6,305,307,314,320,308,310,318,320,7,2,7,13,14,1,305,319,318,312,310,306,14,1,14,13,7,2,8,16,1,5,3,3,13,9,15,7,9,13,11,12,6,3,9,2,5,9,8,9,4,1,8,
3,15,5,13,14,2,15,14,7,319,313,312,305,308,318,316,307,311,12,16,15,16,10,318,310,313,318,310,316,4,13,8,12,2,2,4,16,13,5,14,1,5,4,4,14,10,16,8,9,12,9,8,1,11,15,5,5,7,3,16,
2,6,12,13,1,15,16,11,9,1,318,312,309,305,316,316,309,317,313,10,7,311,305,314,311,315,309,311,312,3,1,10,5,11,4,7,12,12,15,12,12,7,4,11,5,10,1,3,7,6,7,3,2,11,7,13,6,9,15,16,
4,15,2,5,1,13,2,6,3,1,307,310,320,307,310,305,316,307,307,317,311,311,305,315,315,316,314,309,308,13,9,5,10,14,12,9,15,5,3,2,9,16,16,16,8,1,2,3,12,6,8,11,6,1,4,8,4,16,5,10,
14,10,13,15,8,1,16,14,4,8,4,309,320,317,315,313,308,305,311,310,307,318,307,314,313,318,314,309,308,14,6,14,13,11,16,4,16,10,11,11,3,9,7,4,7,10,4,13,13,12,2,7,3,14,1,2,10,2,1,14,
15,6,7,11,10,12,8,8,2,15,7,1,305,312,309,310,320,320,308,310,311,312,316,306,317,310,308,319,320,1,1,4,2,2,14,12,5,16,7,16,5,12,13,2,1,4,1,1,11,9,1,12,2,11,14,5,6,10,9,10,
14,11,8,12,16,11,6,8,10,4,13,13,14,309,311,306,317,310,317,310,316,318,312,310,319,316,316,318,310,6,7,14,6,5,4,10,15,13,10,14,2,13,8,11,13,7,16,1,2,10,1,1,15,6,11,9,6,10,14,10,
